Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
149,28,9,158,2,Some Random Commen with Id 149
150,28,9,35,2,Some Random Commen with Id 150
151,28,9,9,1,Some Random Commen with Id 151
152,28,9,107,0,Some Random Commen with Id 152
153,28,9,173,8,Some Random Commen with Id 153
154,28,9,129,5,Some Random Commen with Id 154
155,29,5,189,9,Some Random Commen with Id 155
156,29,5,22,2,Some Random Commen with Id 156
157,29,5,120,7,Some Random Commen with Id 157
158,30,1,166,1,Some Random Commen with Id 158
159,30,1,106,4,Some Random Commen with Id 159
160,30,1,122,6,Some Random Commen with Id 160
161,30,1,126,0,Some Random Commen with Id 161
162,30,1,179,7,Some Random Commen with Id 162
163,30,1,58,0,Some Random Commen with Id 163
164,31,0,28,7,Some Random Commen with Id 164
165,32,6,124,7,Some Random Commen with Id 165
166,32,6,30,2,Some Random Commen with Id 166
167,32,6,114,7,Some Random Commen with Id 167
168,32,6,194,0,Some Random Commen with Id 168
169,33,2,40,1,Some Random Commen with Id 169
170,33,2,129,4,Some Random Commen with Id 170
171,33,2,54,7,Some Random Commen with Id 171
172,34,1,142,4,Some Random Commen with Id 172
173,35,3,18,4,Some Random Commen with Id 173
174,35,3,71,4,Some Random Commen with Id 174
175,35,3,165,5,Some Random Commen with Id 175
176,35,3,70,1,Some Random Commen with Id 176
177,35,3,52,5,Some Random Commen with Id 177
178,35,3,100,8,Some Random Commen with Id 178
179,35,3,19,3,Some Random Commen with Id 179
180,35,3,158,0,Some Random Commen with Id 180
181,35,3,196,5,Some Random Commen with Id 181
182,36,6,66,8,Some Random Commen with Id 182
183,36,6,121,1,Some Random Commen with Id 183
184,36,6,67,5,Some Random Commen with Id 184
185,36,6,10,4,Some Random Commen with Id 185
186,36,6,36,3,Some Random Commen with Id 186
187,36,6,39,9,Some Random Commen with Id 187
188,37,7,30,2,Some Random Commen with Id 188
189,37,7,40,8,Some Random Commen with Id 189
190,37,7,69,1,Some Random Commen with Id 190
191,37,7,29,7,Some Random Commen with Id 191
192,37,7,96,3,Some Random Commen with Id 192
193,37,7,75,2,Some Random Commen with Id 193
194,37,7,135,1,Some Random Commen with Id 194
195,37,7,109,2,Some Random Commen with Id 195
196,38,2,16,8,Some Random Commen with Id 196
197,38,2,127,5,Some Random Commen with Id 197
198,38,2,58,4,Some Random Commen with Id 198
199,38,2,74,2,Some Random Commen with Id 199
200,38,2,104,1,Some Random Commen with Id 200
201,38,2,12,1,Some Random Commen with Id 201
202,38,2,31,7,Some Random Commen with Id 202
203,38,2,93,6,Some Random Commen with Id 203
204,38,2,90,6,Some Random Commen with Id 204
205,39,5,186,1,Some Random Commen with Id 205
